"","State","type","map_data"
"125","NORTH CAROLINA","OPERATIONS",277
"126","OHIO","DOLLARS",4250331
"127","OHIO","HEAD",848069.675151515
"128","OHIO","LB",427099.891717172
"129","OHIO","OPERATIONS",104
"130","OKLAHOMA","DOLLARS",41941321.34375
"131","OKLAHOMA","HEAD",15643151.7539062
"132","OKLAHOMA","LB",10428767.8359375
"133","OKLAHOMA","OPERATIONS",16
"134","OREGON","DOLLARS",45602444.3374317
"135","OREGON","EGGS",124020
"136","OREGON","HEAD",21085246.6687158
"137","OREGON","LB",10760728.3343579
"138","OREGON","OPERATIONS",67
"139","PENNSYLVANIA","DOLLARS",22044479.3548387
"140","PENNSYLVANIA","EGGS",233184.614439324
"141","PENNSYLVANIA","HEAD",2014043.22887865
"142","PENNSYLVANIA","LB",1782167.22887865
"143","PENNSYLVANIA","OPERATIONS",188
"144","SOUTH CAROLINA","DOLLARS",36846491.4257812
"145","SOUTH CAROLINA","HEAD",5225599.91796875
"146","SOUTH CAROLINA","LB",5235023.91796875
"147","SOUTH CAROLINA","OPERATIONS",37
"148","SOUTH DAKOTA","DOLLARS",1597439.13373737
"149","SOUTH DAKOTA","HEAD",587789.675151515
"150","SOUTH DAKOTA","LB",391859.783434343
"151","SOUTH DAKOTA","OPERATIONS",19
"152","TENNESSEE","DOLLARS",31950041.5078125
"153","TENNESSEE","HEAD",15755194.7539062
"154","TENNESSEE","LB",10579257.8359375
"155","TENNESSEE","OPERATIONS",43
"156","TEXAS","DOLLARS",193694967.666667
"157","TEXAS","HEAD",36653993.5898438
"158","TEXAS","LB",39849459.671875
"159","TEXAS","OPERATIONS",234
"160","UTAH","DOLLARS",17365887.0015369
"161","UTAH","EGGS",5140791.66717896
"162","UTAH","HEAD",10428735.3343579
"163","UTAH","LB",5314966.66717896
"164","UTAH","OPERATIONS",36
"165","VERMONT","DOLLARS",804869.228878648
"166","VERMONT","EGGS",233184.614439324
"167","VERMONT","HEAD",46400
"168","VERMONT","LB",11990
"169","VERMONT","OPERATIONS",26
"170","VIRGINIA","DOLLARS",58514264.2617188
"171","VIRGINIA","EGGS",5214383.91796875
"172","VIRGINIA","HEAD",16168959.7539062
"173","VIRGINIA","LB",10983034.8359375
"174","VIRGINIA","OPERATIONS",94
"175","WASHINGTON","DOLLARS",178462714.003074
"176","WASHINGTON","EGGS",423558000
"177","WASHINGTON","HEAD",12202364.3343579
"178","WASHINGTON","LB",15422375.0015369
"179","WASHINGTON","OPERATIONS",51
"180","WEST VIRGINIA","DOLLARS",55112859.1796875
"181","WEST VIRGINIA","HEAD",16171027.7539062
"182","WEST VIRGINIA","LB",15655794.7539062
"183","WEST VIRGINIA","OPERATIONS",80
"184","WISCONSIN","DOLLARS",8328459.12
"185","WISCONSIN","EGGS",195929.891717172
"186","WISCONSIN","HEAD",923199.891717172
"187","WISCONSIN","LB",753844.891717172
"188","WISCONSIN","OPERATIONS",216
"189","WYOMING","DOLLARS",25910958.3358948
"190","WYOMING","HEAD",10318583.3343579
"191","WYOMING","LB",10284583.3343579
"192","WYOMING","OPERATIONS",16
