MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,3,2,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,4,1,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,4,2,,No,Yes,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,5,1,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,7,1,,No,Yes,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,7,2,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,8,1,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,8,2,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-08,LOS-DO,082-0247717-3,9,1,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3003541753,S & D MARINE PRODUCTS CO. LTD.,Soi 41,,Mueang Chumphon,Chumphon,TH, Thailand,"Soi 41, Chumphon,  Thailand","Mueang Chumphon,  Thailand",16JGT05,2002-01-08,NYK-DO,702-4221998-1,1,1,B,Yes,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
