MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3010000000,BD Seafood Limited,"Pahartali, Chittagong","CDA Plot Number 68W( P), Sagarika Road",Chittagong,,BD,Bangladesh,"Pahartali, Chittagong, Chittagong, , Bangladesh","Chittagong, Bangladesh",16XGD21,9/12/2016,DNEI,KM6-0087760-9,3,1,,No,No,"249, 9",FILTHY, SALMONELLA,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SUNLIGHT SEAFOOD SDN BHD,PT. 3804 KAWASAN PERINDUSTRIAN,,Sri Manjung,Perak,MY,Malaysia,"PT. 3804 KAWASAN PERINDUSTRIAN, Sri Manjung, Perak, Malaysia","Sri Manjung, Malaysia",16XGT21,8/20/2014,LOS-DO,KM6-0133467-5,1,1,,Yes,No,"3220, 2860",NITROFURAN, VETDRUGES,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SUNLIGHT SEAFOOD SDN BHD,PT. 3804 KAWASAN PERINDUSTRIAN,,Sri Manjung,Perak,MY,Malaysia,"PT. 3804 KAWASAN PERINDUSTRIAN, Sri Manjung, Perak, Malaysia","Sri Manjung, Malaysia",16XGT21,8/20/2014,LOS-DO,KM6-0133467-5,1,2,,No,No,"2860, 3220",VETDRUGES, NITROFURAN,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SUNLIGHT SEAFOOD SDN BHD,PT. 3804 KAWASAN PERINDUSTRIAN,,Sri Manjung,Perak,MY,Malaysia,"PT. 3804 KAWASAN PERINDUSTRIAN, Sri Manjung, Perak, Malaysia","Sri Manjung, Malaysia",16XGT21,8/20/2014,LOS-DO,KM6-0133467-5,1,3,,No,No,"3220, 2860",NITROFURAN, VETDRUGES,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SUNLIGHT SEAFOOD SDN BHD,PT. 3804 KAWASAN PERINDUSTRIAN,,Sri Manjung,Perak,MY,Malaysia,"PT. 3804 KAWASAN PERINDUSTRIAN, Sri Manjung, Perak, Malaysia","Sri Manjung, Malaysia",16XGT21,8/20/2014,LOS-DO,KM6-0133467-5,1,4,,No,No,"2860, 3220",VETDRUGES, NITROFURAN,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,"shenzhen sunhill trading co.,ltd","RM 520,TOWER 101,SHANGBU INDUSTRY ESTATE",Huaqiang Road North Shenzhen,Shenzhen,Yandongsheng,CN,China,"RM 520,TOWER 101,SHANGBU INDUSTRY ESTATE, Shenzhen, Yandongsheng, China","Shenzhen, China",16JGH05,10/23/2014,NYK-DO,KM6-0070266-6,11,1,,No,Yes,238,UNSAFE ADD,,,,,,,SHRIMP & PRAWNS
3000000000,Kader Investment & Trading Co. Pvt. Ltd.,2/91 Tuticorin,,Pattanamarudur,Tamil Nadu,IN,India,"2/91 Tuticorin, Pattanamarudur, Tamil Nadu, India","Pattanamarudur, India",16XGD21,9/25/2014,LOS-DO,KM6-0134265-2,1,1,,No,No,"9, 249",SALMONELLA, FILTHY,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,BD Seafood Limited,"Pahartali, Chittagong","CDA Plot Number 68W( P), Sagarika Road",Chittagong,,BD,Bangladesh,"Pahartali, Chittagong, Chittagong, , Bangladesh","Chittagong, Bangladesh",16XGT21,7/9/2015,DNEI,KM6-0076511-9,2,1,,No,No,"249, 9",FILTHY, SALMONELLA,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,BD Seafood Limited,"Pahartali, Chittagong","CDA Plot Number 68W( P), Sagarika Road",Chittagong,,BD,Bangladesh,"Pahartali, Chittagong, Chittagong, , Bangladesh","Chittagong, Bangladesh",16XGT21,7/9/2015,DNEI,KM6-0076511-9,2,2,,No,No,"9, 249",SALMONELLA, FILTHY,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3000000000,"B.S.A.FOOD PRODUCTS CO.,LTD",Bangya Coldstorage,1278 Wichienchodok Road,Muang Samut Sakhon,Samut Sakhon,TH,Thailand,"Bangya Coldstorage, Muang Samut Sakhon, Samut Sakhon, Thailand","Muang Samut Sakhon, Thailand",16JGD05,4/7/2016,DNEI,KM6-0083171-3,1,1,,No,No,"249, 9",FILTHY, SALMONELLA,,,,,,SHRIMP & PRAWNS
3000000000,"B.S.A.FOOD PRODUCTS CO.,LTD",Bangya Coldstorage,1278 Wichienchodok Road,Muang Samut Sakhon,Samut Sakhon,TH,Thailand,"Bangya Coldstorage, Muang Samut Sakhon, Samut Sakhon, Thailand","Muang Samut Sakhon, Thailand",16JGD05,4/7/2016,DNEI,KM6-0083171-3,1,2,,No,No,"9, 249",SALMONELLA, FILTHY,,,,,,SHRIMP & PRAWNS
