Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,9,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,000,144",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"56,510,579",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,52,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"48,362,166",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"6,566,210",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"12,394,899",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,1.9,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, STOCKERS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,10,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, STOCKERS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"437,110",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, STOCKERS - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"259,065",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, STOCKERS - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"275,843",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, BASS, HYBRID STRIPED, STOCKERS - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,1.1,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,82,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS) - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,26,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,5,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"49,000",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"21,500",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,20,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,870,014",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"523,986",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"735,028",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,1.4,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), STOCKERS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,1,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), STOCKERS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), STOCKERS - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), STOCKERS - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, (EXCL GRASS), STOCKERS - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,61,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,107,306",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,10,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"446,425",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,14,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"99,050",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"281,980",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,2.8,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, STOCKERS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,41,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, STOCKERS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,979,965",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, STOCKERS - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"574,036",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, STOCKERS - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"345,023",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CARP, GRASS, STOCKERS - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,0.6,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,695,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"375,864,519",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, BROODSTOCK - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,19,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, BROODSTOCK - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"245,340",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, BROODSTOCK - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"41,292",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, BROODSTOCK - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"227,276",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, BROODSTOCK - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,5.5,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,117,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,161,497",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"172,876,187",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,605,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"354,337,020",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"211,355,778",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"358,379,683",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,1.7,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, STOCKERS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,67,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, STOCKERS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,120,662",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, STOCKERS - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"73,996,680",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, STOCKERS - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"9,418,359",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, CATFISH, STOCKERS - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,0.1,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,7,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,160,689",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FINGERLINGS & FRY - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FINGERLINGS & FRY - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,7,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,109,790",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,311,930",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, DRUM, RED, FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED,3,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER, FOODSIZE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER, FOODSIZE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER, FOODSIZE - SALES, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER, FOODSIZE - SALES, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, FLOUNDER, FOODSIZE - SALES, MEASURED IN LB / HEAD",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,24,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,406,531",
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES, EGGS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2,
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES, EGGS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES, EGGS - SALES, MEASURED IN EGGS",TOTAL,NOT SPECIFIED, (D),
CENSUS,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FOOD FISH,"FOOD FISH, OTHER SPECIES, FINGERLINGS & FRY - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,5,
